N ;D ;Time Optimized ;Time not Optimized ;Answer Optimized ;Answer not Optimized
1;2;0;0;10;10
1;3;0.004;0;10;10
1;4;0;0;10;10
1;5;0.001;0.001;10;10
1;6;0.001;0;10;10
1;7;0.002;0;10;10
1;8;0.002;0;10;10
2;2;0.003;0;110;110
2;3;0.001;0;201;201
2;4;0.003;0;230;230
2;5;0.002;0;320;320
2;6;0.008;0;402;402
2;7;0.005;0;450;450
2;8;0.007;0;530;530
3;2;0.001;0;10100;10100
3;3;0.003;0;12020;12020
3;4;0.003;0;21010;21010
3;5;0.007;0.004;24001;24001
3;6;0.029;0.01;32020;32020
3;7;0.016;0.026;36130;36130
3;8;0.021;0.049;43350;43350
4;2;0.002;0;1000110;1000110
4;3;0.004;0.007;1112000;1112000
4;4;0.009;0.016;1332130;1332130
4;5;0.016;0.104;2210130;2210130
4;6;0.024;0.504;2525230;2525230
4;7;0.071;1.457;3250001;3250001
4;8;0.058;4.541;3671670;3671670
5;2;0.002;0;11111100;11111100
5;3;0.007;0.02;110021121;110021121
5;4;0.04;0.655;130121100;130121100
5;5;0.063;3.208;204410240;204410240
5;6;0.047;19.693;234113200;234113200
5;7;0.101;95.883;302033440;302033440
